Rank,Player,Position,School,Class,Photo_Url,Pick,Slot Value,Adjusted Slot Bonus
1,Roch Cholowsky,SS,UCLA,C,https://images.sidearmdev.com/resize?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuclabruins.com%2Fimages%2F2025%2F2%2F17%2F2Y5A7791.jpg&height=300&type=webp,1,"$11,075,900","$11,075,900"
2,Grady Emerson,SS,Fort Worth Christian,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/fuknqtdzanp8z446uho7.jpg",2,"$10,252,700","$10,252,700"
3,AJ Gracia,OF,Virginia,C,https://storage.googleapis.com/virginiasports-com/2025/09/amt-a6024fb25399c414fd5720fc513df5564ac9e6a1-AJ-Gracia_20250902_BSB_Headshot_OM_0003.jpg,3,"$9,504,400","$9,504,400"
4,Tyler Bell,SS,Kentucky,C,https://dehayf5mhw1h7.cloudfront.net/wp-content/uploads/sites/258/2025/01/28080612/24102ymorehead35cb.webp,4,"$8,770,900","$8,770,900"
5,Chris Hacopian,SS,Texas A&M,C,https://pbs.twimg.com/media/G06KMSTWIAANzdT?format=jpg&name=4096x4096,5,"$8,134,800","$8,134,800"
6,Justin Lebron,SS,Alabama,C,https://pbs.twimg.com/media/G4njz5zbIAAs35c?format=jpg&name=large,6,"$7,558,600","$7,558,600"
7,Jacob Lombard,SS,Gulliver Preparatory School,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/yg5u3qkbtoeagumn2khb.jpg",7,"$7,149,900","$7,149,900"
8,Drew Burress,OF,Georgia Tech,C,https://ramblinwreck.com/imgproxy/ABpf7a2IrFc_LOfanWTINYyx2GNPPaoaOnphPcY02BY/fit/2500/2500/ce/0/aHR0cHM6Ly9yYW1ibGlud3JlY2suY29tL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDI0LzExL0RyZXctQnVycmVzcy1IUy5qcGc.jpg,8,"$6,813,600","$6,813,600"
9,Cameron Flukey,RHP,Coastal Carolina,C,https://goccusports.com/images/2024/9/10/Flukey-Cameron.png,9,"$6,513,800","$6,513,800"
10,Gio Rojas,LHP,Marjory Stoneman Douglas,H,https://pbs.twimg.com/profile_images/1813640285219360768/1pLsHmdD_400x400.jpg,10,"$6,238,400","$6,238,400"
11,Liam Peterson,RHP,Florida,C,"https://images2.minutemediacdn.com/image/upload/c_crop,w_2676,h_1505,x_336,y_120/c_fill,w_720,ar_16:9,f_auto,q_auto,g_auto/images/voltaxMediaLibrary/mmsport/all_gators/01jnxr24e1d3g3jyxvd3.jpg",11,"$5,985,100","$5,985,100"
12,Ace Reese,3B,Mississippi State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fmsstate.sidearmsports.com%2Fimages%2F2024%2F11%2F19%2FReese_Ace_WEB_20241114_BB_Headshots_MM_0002.jpg&width=180&height=270&type=webp,12,"$5,746,800","$5,746,800"
13,Jackson Flora,RHP,UC Santa Barbara,C,https://ucsbgauchos.com/images/2024/12/22/Jackson_Flora_Baseball_Headshot_2025_0035_QG8HA.jpg,13,"$5,524,300","$5,524,300"
14,Eric Becker,SS,Virginia,C,https://pbs.twimg.com/profile_images/1826687293962252288/Bmg1BeYZ_400x400.jpg,14,"$5,313,100","$5,313,100"
15,Carson Bolemon,LHP,Southside Christian,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/o76mxaqb05lzntatfcpa.jpg",15,"$5,114,200","$5,114,200"
16,Logan Schmidt,LHP,Ganesha,H,https://cdn.d1baseball.com/uploads/2025/08/08025911/ACG25-LoganSchmidt.jpg,16,"$4,929,600","$4,929,600"
17,Will Brick,C,Christian Brothers,H,https://pbs.twimg.com/media/G3T9h_IbUAEtXb5?format=jpg&name=small,17,"$4,750,800","$4,750,800"
18,"Eric ""EJ"" Booth Jr.",OF,Oak Grove,H,https://pbs.twimg.com/profile_images/1743421103337332736/-68qhS3S_400x400.jpg,18,"$4,581,900","$4,581,900"
19,Vahn Lackey,C,Georgia Tech,C,https://ramblinwreck.com/imgproxy/OOMQjpp1i-ZSKCv5NSeJCkOp3RgQSeYm9T0uIUh4cKQ/fit/2500/2500/ce/0/aHR0cHM6Ly9yYW1ibGlud3JlY2suY29tL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDI0LzExL1ZhaG4tTGFja2V5LUhTLmpwZw.jpg,19,"$4,420,900","$4,420,900"
20,Blake Bowen,OF,JSerra Catholic,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/lat5uozdwjdm0wuibnuf.jpg",20,"$4,268,100","$4,268,100"
21,Caden Sorrell,OF,Texas A&M,C,https://texags.blob.core.windows.net/photos/0202678-nknu-1280x720.jpg,21,"$4,122,500","$4,122,500"
22,James Clark,SS,St. John Bosco,H,https://www.presstelegram.com/wp-content/uploads/2025/06/LPT-L-HSB-DREAMTEAM-0613-HF-01-1.jpg?w=525,22,"$3,983,900","$3,983,900"
23,Sawyer Strosnider,OF,TCU,C,https://gofrogs.com/images/2024/10/30/Sawyer_Stronsnider_Headshot.png,23,"$3,852,100","$3,852,100"
24,Tyler Spangler,SS,De La Salle,H,https://dlsspartans.org/images/2025/4/2/22TylerSpangler.jpg,24,"$3,726,300","$3,726,300"
25,Derek Curiel,OF,LSU,C,https://i0.wp.com/crescentcitysports.com/wp-content/uploads/2025/01/Derek-Curiel-1.jpg?resize=960%2C707&ssl=1,25,"$3,606,600","$3,606,600"
26,Maddox Molony,SS,Oregon,C,https://dailyemerald.com/wp-content/uploads/2025/03/2025.03.02.EMG_.MCU_.BB_.UO_.vs_.COL-06-1200x900.jpeg,26,"$3,492,200","$3,492,200"
27,Kevin Roberts Jr.,RHP/OF,Jackson Preparatory,H,https://pbs.twimg.com/media/GTxr6QqXEAES60D.jpg:large,27,"$3,382,600","$3,382,600"
28,Lucas Moore,OF,Louisville,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgocards.com%2Fimages%2F2025%2F2%2F12%2Flucas_moore_hs25.jpg&width=180&height=270&type=webp,28,"$3,282,200","$3,282,200"
29,Gabe Gaeckle,RHP,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2024/01/20-Gabe-Gaeckle-BSB-2024-64522-1x1-1.jpg,29,"$3,191,100","$3,191,100"
30,Chase Brunson,OF,TCU,C,https://odstcoreprodncus01.blob.core.windows.net/profile/630427/20240221233609_ec8ac75d-4270-4b2a-92dc-65c8d545ab06.jpg,30,"$3,113,300","$3,113,300"
31,Logan Hughes,OF,Texas Tech,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ftexastech.com%2Fimages%2F2025%2F2%2F6%2FHughes_Logan.png&width=180&height=270&type=webp,31,"$3,042,800","$3,042,800"
32,Joey Volchko,RHP,Georgia,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgeorgiadogs.com%2Fimages%2F2025%2F8%2F19%2FVolchko__Joey.JPG&width=180&height=270&type=webp,32,"$2,970,900","$2,970,900"
33,Chris Rembert,2B/OF,Auburn,C,https://assets-cms.thescore.com/uploads/image/file/788484/w640xh480_GettyImages-2210333368.jpg?ts=1748868305,33,"$2,898,300","$2,827,300"
34,Jake McCoy,LHP,South Carolina,C,https://gamecocksonline.com/imgproxy/aP0aYXPGOwF6Jt-Z4YQw9Ey5mjuWQ3na8qdflsXQTAA/fit/564/832/ce/0/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dhbWVjb2Nrc29ubGluZS1jb20vMjAyNC8xMS80YTcwYWY4Mi1tY2NveS1qYWtlLmpwZw.png,34,"$2,827,300","$2,758,300"
35,Jensen Hirschkorn,RHP,Kingsburg,H,https://pbs.twimg.com/media/Gx2L0fXbsAAoGKL?format=jpg&name=medium,35,"$2,758,300","$2,692,000"
36,Jarren Advincula,2B/SS,Georgia Tech,C,https://pbs.twimg.com/media/G4DtL3aWkAAdDiZ?format=jpg&name=medium,36,"$2,692,000","$2,631,400"
37,Beau Peterson,3B,Mill Valley,H,https://pbs.twimg.com/profile_images/1802840932569554945/4lGZ6cZZ_400x400.jpg,37,"$2,631,400","$2,569,400"
38,Aiden Robbins,OF,Texas,C,https://pbs.twimg.com/media/GziEQ5oWEAA5-pL?format=jpg&name=4096x4096,38,"$2,569,400","$2,509,500"
39,Jack Natili,C,Cincinnati,C,https://gobearcats.com/imgproxy/oiRi05NWrTVD5-KCDsYcBqV01EJuMcExLQIR2kuhAvI/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvYmVhcmNhdHMtY29tLXByb2QvMjAyNS8wNi8xOC85ZW9mRmx0ZkVOaEFWcE0zd1h3VXEzb2YxN29tbFJYUTNUVmlNWERMLndlYnA.webp,39,"$2,509,500","$2,443,600"
40,Hunter Dietz,LHP,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2024/01/32-Hunter-Dietz-BSB-2024-64120-1x1-1.jpg,40,"$2,443,600","$2,386,900"
41,Cooper Sides,RHP,Orange Lutheran,H,https://image.maxpreps.io/careers/a/2/6/a26d1df7-8948-49bb-babf-4728a4e4e047/thumbnail.jpg?version=638841335273591395,41,"$2,386,900","$2,331,000"
42,Owen Kramkowski,RHP,Arizona,C,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcc1xOQk5JrsyewZfuJu2hwV-HJ2oKluCgLQ&s,42,"$2,331,000","$2,276,700"
43,Carson Tinney,C,Texas,C,https://img.mlbstatic.com/opprops-images/image/upload/t_5x2/w_2208/opprops/ussrvyq8cxbj6kwsrrxd.jpg,43,"$2,276,700","$2,898,300"
44,Matt Ponatoski,SS/RHP,Archbishop Moeller,H,https://letsgobigmoe.com/images/2024/4/9/Ponatoski__Matt.jpg?width=300,44,"$2,223,600","$2,223,600"
45,Ethan Bass,SS/RHP,Glenbrook North,H,https://pbs.twimg.com/media/GuK_mf8XwAAo59e?format=jpg&name=large,45,"$2,171,900","$2,171,900"
46,Ryan Lynch,RHP,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2024%2F11%2F14%2FLynch_Ryan.2025.bb.214.jpg&width=180&height=270&type=webp,46,"$2,128,800","$2,128,800"
